"CO_IES","TP_COR_RACA","TP_SEXO","IN_CONCLUINTE","IN_APOIO_BOLSA_PERMANENCIA","value","ANO_CENSO_SUP"
1302,1,2,0,0,63,2009
1302,1,2,0,1,82,2009
1302,1,1,0,0,103,2009
1302,1,1,0,1,71,2009
1302,1,1,1,0,6,2009
1302,2,2,0,0,8,2009
1302,2,2,0,1,13,2009
1302,2,2,1,0,2,2009
1302,2,1,0,0,10,2009
1302,2,1,0,1,11,2009
1302,3,2,0,0,72,2009
1302,3,2,0,1,78,2009
1302,3,2,1,0,27,2009
1302,3,1,0,0,101,2009
1302,3,1,0,1,106,2009
1302,3,1,1,0,36,2009
1302,4,2,0,0,5,2009
1302,4,2,0,1,6,2009
1302,4,1,0,0,4,2009
1302,4,1,0,1,1,2009
1302,5,2,0,0,3,2009
1302,5,2,0,1,11,2009
1302,5,1,0,0,11,2009
1302,5,1,0,1,5,2009
1302,9,1,0,1,1,2009
1363,0,2,0,0,5,2009
1363,0,2,1,0,1,2009
1363,0,1,0,0,14,2009
1363,0,1,1,0,3,2009
1363,1,2,0,0,3,2009
1363,1,2,1,0,2,2009
1363,1,1,0,0,4,2009
1363,1,1,1,0,3,2009
1363,2,2,0,0,1,2009
1363,2,1,0,0,1,2009
1363,3,2,0,0,3,2009
1363,3,1,0,0,18,2009
1363,9,2,0,0,489,2009
1363,9,2,1,0,129,2009
1363,9,1,0,0,727,2009
1363,9,1,1,0,267,2009
1394,0,2,0,0,8,2009
1394,0,1,0,0,13,2009
1394,1,1,0,0,1,2009
1394,2,1,0,0,1,2009
1394,3,2,0,0,3,2009
1394,3,1,0,0,5,2009
1394,9,2,0,0,881,2009
1394,9,2,1,0,92,2009
1394,9,1,0,0,417,2009
1394,9,1,1,0,68,2009
1410,0,2,0,0,94,2009
1410,0,2,1,0,2,2009
1410,0,1,0,0,30,2009
1410,0,1,1,0,1,2009
1410,1,2,0,0,16,2009
1410,1,2,1,0,1,2009
1410,1,1,0,0,2,2009
1410,2,2,0,0,8,2009
1410,2,2,1,0,1,2009
1410,2,1,0,0,3,2009
1410,3,2,0,0,27,2009
1410,3,2,1,0,2,2009
1410,3,1,0,0,10,2009
1410,4,2,0,0,5,2009
1410,4,1,0,0,2,2009
1410,9,2,0,0,2630,2009
1410,9,2,1,0,323,2009
1410,9,1,0,0,559,2009
1410,9,1,1,0,92,2009
1411,0,2,0,0,18,2009
1411,0,1,0,0,18,2009
1411,1,2,0,0,1,2009
1411,1,1,0,0,2,2009
1411,2,2,0,0,2,2009
1411,3,2,0,0,4,2009
1411,3,1,0,0,7,2009
1411,9,2,0,0,768,2009
1411,9,2,0,1,2,2009
1411,9,2,1,0,37,2009
1411,9,1,0,0,835,2009
1411,9,1,1,0,27,2009
1461,0,2,0,0,2050,2009
1461,0,2,1,0,432,2009
1461,0,1,0,0,2245,2009
1461,0,1,1,0,686,2009
1461,1,2,0,0,6,2009
1461,1,1,0,0,14,2009
1461,1,1,1,0,1,2009
1461,2,2,0,0,2,2009
1461,2,2,1,0,1,2009
1461,2,1,0,0,3,2009
1461,3,2,0,0,9,2009
1461,3,2,1,0,1,2009
1461,3,1,0,0,16,2009
1461,5,1,0,0,1,2009
1461,9,2,0,0,55,2009
1461,9,2,1,0,1,2009
1461,9,1,0,0,47,2009
1461,9,1,1,0,2,2009
1524,0,2,0,0,1,2009
1524,0,1,0,0,3,2009
1524,3,2,0,0,1,2009
1524,3,1,0,0,3,2009
1524,9,2,0,0,170,2009
1524,9,2,1,0,6,2009
1524,9,1,0,0,624,2009
1524,9,1,1,0,7,2009
1639,0,2,0,0,11,2009
1639,0,2,1,0,1,2009
1639,0,1,0,0,8,2009
1639,0,1,1,0,3,2009
1639,1,2,0,0,68,2009
1639,1,2,1,0,56,2009
1639,1,1,0,0,72,2009
1639,1,1,1,0,50,2009
1639,2,2,0,0,43,2009
1639,2,2,1,0,40,2009
1639,2,1,0,0,45,2009
1639,2,1,1,0,35,2009
1639,3,2,0,0,127,2009
1639,3,2,1,0,78,2009
1639,3,1,0,0,83,2009
1639,3,1,1,0,69,2009
1639,4,2,0,0,5,2009
1639,4,2,1,0,1,2009
1639,4,1,0,0,1,2009
1639,4,1,1,0,2,2009
1639,5,2,0,0,1,2009
1639,5,2,1,0,1,2009
1639,9,2,0,0,13,2009
1639,9,1,0,0,20,2009
1639,9,1,1,0,2,2009
1641,0,2,0,0,719,2009
1641,0,2,1,0,4,2009
1641,0,1,0,0,840,2009
1641,1,2,0,0,8,2009
1641,1,2,1,0,2,2009
1641,1,1,0,0,7,2009
1641,1,1,1,0,3,2009
1641,2,2,0,0,4,2009
1641,2,2,1,0,1,2009
